scope,name,network_segment,ebgp_as,vlan,extend
计算参数面,HL-HLDY-M4F101-B11-SP1-CE9866-CSM-LEAF-01,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP1-CE9866-CSM-LEAF-02,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP1-CE9866-CSM-LEAF-03,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP1-CE9866-CSM-LEAF-04,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP1-CE9866-CSM-LEAF-05,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP1-CE9866-CSM-LEAF-06,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP1-CE9866-CSM-LEAF-07,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP1-CE9866-CSM-LEAF-08,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP2-CE9866-CSM-LEAF-01,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP2-CE9866-CSM-LEAF-02,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP2-CE9866-CSM-LEAF-03,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP2-CE9866-CSM-LEAF-04,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP2-CE9866-CSM-LEAF-05,NA,,NA,NA
计算参数面,HL-HLDY-M4F101-B11-SP2-CE9866-CSM-LEAF-06,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-A01-CE16816-CSM-SPINE-01,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-A02-CE16816-CSM-SPINE-02,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-A03-CE16816-CSM-SPINE-03,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-A04-CE16816-CSM-SPINE-04,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-A05-CE16816-CSM-SPINE-05,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-A06-CE16816-CSM-SPINE-06,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-A07-CE16816-CSM-SPINE-07,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-A08-CE16816-CSM-SPINE-08,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-B01-CE16816-CSM-SPINE-09,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-B02-CE16816-CSM-SPINE-10,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-B02-CE16816-CSM-SPINE-11,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-B04-CE16816-CSM-SPINE-12,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-B05-CE16816-CSM-SPINE-13,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-B06-CE16816-CSM-SPINE-14,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-B07-CE16816-CSM-SPINE-15,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-B08-CE16816-CSM-SPINE-16,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-C01-CE16816-CSM-SPINE-17,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-C02-CE16816-CSM-SPINE-18,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-C03-CE16816-CSM-SPINE-19,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-C04-CE16816-CSM-SPINE-20,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-C05-CE16816-CSM-SPINE-21,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-C06-CE16816-CSM-SPINE-22,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-C07-CE16816-CSM-SPINE-23,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-D01-CE16816-CSM-SPINE-24,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-D02-CE16816-CSM-SPINE-25,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-D03-CE16816-CSM-SPINE-26,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-D04-CE16816-CSM-SPINE-27,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-D05-CE16816-CSM-SPINE-28,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-D06-CE16816-CSM-SPINE-29,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-D07-CE16816-CSM-SPINE-30,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-D08-CE16816-CSM-SPINE-31,NA,,NA,NA
计算参数面,HL-HLDY-M4F201-D09-CE16816-CSM-SPINE-32,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-A01-CE16816-CSM-SPINE-33,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-A02-CE16816-CSM-SPINE-34,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-A03-CE16816-CSM-SPINE-35,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-A04-CE16816-CSM-SPINE-36,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-A05-CE16816-CSM-SPINE-37,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-A06-CE16816-CSM-SPINE-38,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-A07-CE16816-CSM-SPINE-39,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-A08-CE16816-CSM-SPINE-40,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-A09-CE16816-CSM-SPINE-41,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-B01-CE16816-CSM-SPINE-42,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-B02-CE16816-CSM-SPINE-43,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-B03-CE16816-CSM-SPINE-44,NA,,NA,NA
计算参数面,HL-HLDY-M4F202-B04-CE16816-CSM-SPINE-45,NA,,NA,NA
