templateKey,activityType,baseStandardSlaDays,baseLimitSlaDays,workloadUnit,resourceSensitive,scope
京东::activity_template::2,L1机房准备,,,,false,PROJECT
京东::activity_template::2.3,机房改造实施,机房级,/,,false,PROJECT
京东::activity_template::3,工程勘测,,,,false,PROJECT
京东::activity_template::3.1,现场勘测,项目级,3天,,false,PROJECT
京东::activity_template::3.2,远程视频辅助,2天,,,false,PROJECT
京东::activity_template::3.3,输出工勘报告,项目级,5天,,false,PROJECT
京东::activity_template::3.4,工程勘测报告评审,项目级,3天,,false,PROJECT
京东::activity_template::4,建模仿真,,,,false,PROJECT
京东::activity_template::4.1,信息分析与确认,项目级,1天,,false,PROJECT
京东::activity_template::4.2,建模仿真设计,项目级,"1. 千卡以下，5天
2. 千卡至万卡，11天
3. 万卡以上，18天",,false,PROJECT
京东::activity_template::4.3,建模仿真初稿评审,项目级,1天,,false,PROJECT
京东::activity_template::4.4,建模仿真终稿输出,项目级,1天,,false,PROJECT
京东::activity_template::5,低阶设计,,,,false,PROJECT
京东::activity_template::5.1,集群LLD设计,项目级,5天,,false,PROJECT
京东::activity_template::5.2,计算子系统LLD设计,项目级,5天,,false,PROJECT
京东::activity_template::5.3,网络子系统LLD设计,项目级,5天,,false,PROJECT
京东::activity_template::5.4,存储子系统LLD设计,项目级,5天,,false,PROJECT
京东::activity_template::5.6,集群验收方案设计,项目级,25天,,false,PROJECT
京东::activity_template::5.7,低阶设计评审,项目级,3天,,false,PROJECT
京东::activity_template::6,到货,,,,false,PROJECT
京东::activity_template::6.2,计算柜到货（含开箱验货）,PoD级,/,,false,PROJECT
京东::activity_template::6.3,总线设备柜到货（含开箱验货）,PoD级,/,,false,PROJECT
京东::activity_template::6.4,通用线缆到货（含开箱验货）,PoD级,/,,false,PROJECT
京东::activity_template::6.5,灵衢线缆到货（含开箱验货）,PoD级,/,,false,PROJECT
京东::activity_template::6.7,通算到货（含开箱验货）,PoD级,/,,false,PROJECT
京东::activity_template::6.8,存储到货（含开箱验货）,PoD级,/,,false,PROJECT
京东::activity_template::6.9,网络到货（含开箱验货）,PoD级,/,,false,PROJECT
京东::activity_template::6.11,转运与设备静置,PoD级,1天,,false,PROJECT
京东::activity_template::7,工程安装,,,,false,PROJECT
京东::activity_template::7.1,机房洁净度测试,机房级,5天,,false,PROJECT
京东::activity_template::7.2,综合布线与成端-通用线缆,PoD级,1. 通用线缆，约728根/5天,,false,PROJECT
京东::activity_template::7.3,综合布线与成端-灵衢线缆,PoD级,1.灵衢线缆，2688根/12天,,false,PROJECT
京东::activity_template::7.7,通算服务器安装,PoD级,30台/天,,false,PROJECT
京东::activity_template::7.8,通算设备上电,批次级,2天,,false,PROJECT
京东::activity_template::7.9,通算设备硬件验收,PoD级,1天,,false,PROJECT
京东::activity_template::7.10,存储设备安装,PoD级,16台/天,,false,PROJECT
京东::activity_template::7.11,存储设备上电,批次级,2天,,false,PROJECT
京东::activity_template::7.12,存储设备硬件验收,PoD级,1天,,false,PROJECT
京东::activity_template::7.13,网络设备安装,PoD级,"盒式：40台/天
框式：16台/天",,false,PROJECT
京东::activity_template::7.14,网络设备上电,批次级,2天,,false,PROJECT
京东::activity_template::7.15,网络设备硬件验收,PoD级,1天,,false,PROJECT
京东::activity_template::7.19,液冷计算柜安装,PoD级,48柜/天,,false,PROJECT
京东::activity_template::7.20,液冷计算柜设备上电,批次级,2天,,false,PROJECT
京东::activity_template::7.21,液冷计算柜验收,PoD级,7天,,false,PROJECT
京东::activity_template::7.22,总线设备柜安装,PoD级,48柜/天,,false,PROJECT
京东::activity_template::7.23,总线设备柜设备上电,批次级,2天,,false,PROJECT
京东::activity_template::7.24,总线设备柜验收,PoD级,7天,,false,PROJECT
京东::activity_template::8,单机调测,,,,false,PROJECT
京东::activity_template::8.1,基础网络配置,PoD级,2天,,false,PROJECT
京东::activity_template::8.2,设备硬装初始化-智算服务器,PoD级,2天,,false,PROJECT
京东::activity_template::8.3,设备硬装初始化-通算服务器,PoD级,2天,,false,PROJECT
京东::activity_template::8.4,设备硬装初始化-存储服务器,PoD级,2天,,false,PROJECT
京东::activity_template::8.5,设备硬装初始化-灵衢网络,PoD级,2天,,false,PROJECT
京东::activity_template::8.6,智算硬件压测,PoD级,5天,,false,PROJECT
京东::activity_template::8.7,网络子系统部署调测,PoD级,5天,,false,PROJECT
京东::activity_template::8.8,计算子系统部署调测-智算服务器,PoD级,5天,,false,PROJECT
京东::activity_template::8.9,计算子系统部署调测-通算服务器,PoD级,5天,,false,PROJECT
京东::activity_template::8.10,计算子系统部署调测-灵衢网络,PoD级,5天,,false,PROJECT
京东::activity_template::8.11,存储子系统部署调测,PoD级,5天,,false,PROJECT
京东::activity_template::8.12,计算子系统验证-智算服务器,PoD级,3天,,false,PROJECT
京东::activity_template::8.13,计算子系统验证-灵衢网络,PoD级,3天,,false,PROJECT
京东::activity_template::8.14,存储子系统验证,PoD级,3天,,false,PROJECT
京东::activity_template::8.15,网络子系统验证,PoD级,3天,,false,PROJECT
京东::activity_template::8.16,计算子系统验证-通算服务器,3天,,,false,PROJECT
京东::activity_template::9,集群调测,,,,false,PROJECT
京东::activity_template::9.1,计算管理系统对接,批次级,2天,,false,PROJECT
京东::activity_template::9.2,网络管理系统对接,批次级,2天,,false,PROJECT
京东::activity_template::9.3,存储管理系统对接,批次级,2天,,false,PROJECT
京东::activity_template::9.4,线序及光链路质量排查,批次级,3天,,false,PROJECT
京东::activity_template::9.5,综合布线整改,批次级,4天,,false,PROJECT
京东::activity_template::9.6,集群通信配置测试,批次级,2天,,false,PROJECT
京东::activity_template::9.7,集群系统集成测试,批次级,5天,,false,PROJECT
京东::activity_template::9.8,集群性能调优,批次级,3天,,false,PROJECT
京东::activity_template::12,验收测试,,,,false,PROJECT
京东::activity_template::12.1,客户集群验收,批次级,10天,,false,PROJECT
京东::activity_template::12.2,输出验收报告,批次级,5天,,false,PROJECT
京东::activity_template::12.3,验收报告沟通,批次级,3天,,false,PROJECT
京东::activity_template::12.4,移交,批次级,2天,,false,PROJECT
