arrivalItemKey,projectKey,itemId,managementUnit,room,podName,equipmentType,model,modelNormalized,componentCode,detailedConfig,unit,quantity,arrivalDate,modifiedArrivalDate,remark
京东::arrival::1,京东,1,B2DH401-POD01,B2DH401,POD01,灵衢线缆,400G MPO线缆,,,,根,2688,2026-01-05,,
京东::arrival::2,京东,2,B2DH401-POD01,B2DH401,POD01,计算柜,Atlas 900 A3 SuperPoD计算柜,,,48*Atlas 900 A3,柜,12,2026-01-10,,
京东::arrival::3,京东,3,B2DH401-POD01,B2DH401,POD01,总线设备柜,Atlas 900 A3 SuperPoD总线设备柜,,,56*LingQu 630 V1,柜,4,2026-01-10,,
京东::arrival::4,京东,4,B2DH401-POD01,B2DH401,POD01,网络,CE9866-128DQ,,,,台,6,2026-01-10,,
京东::arrival::5,京东,5,B2DH401-POD02,B2DH401,POD02,灵衢线缆,400G MPO线缆,,,,根,2688,2026-01-05,,
京东::arrival::6,京东,6,B2DH401-POD02,B2DH401,POD02,计算柜,Atlas 900 A3 SuperPoD计算柜,,,48*Atlas 900 A3,柜,12,2026-01-10,,
京东::arrival::7,京东,7,B2DH401-POD02,B2DH401,POD02,总线设备柜,Atlas 900 A3 SuperPoD总线设备柜,,,56*LingQu 630 V1,柜,4,2026-01-10,,
京东::arrival::8,京东,8,B2DH401-POD02,B2DH401,POD02,网络,CE9866-128DQ,,,,台,6,2026-01-10,,
京东::arrival::9,京东,9,B2DH401-POD03,B2DH401,POD03,灵衢线缆,400G MPO线缆,,,,根,2688,2026-01-05,,
京东::arrival::10,京东,10,B2DH401-POD03,B2DH401,POD03,计算柜,Atlas 900 A3 SuperPoD计算柜,,,48*Atlas 900 A3,柜,12,2026-01-10,,
京东::arrival::11,京东,11,B2DH401-POD03,B2DH401,POD03,总线设备柜,Atlas 900 A3 SuperPoD总线设备柜,,,56*LingQu 630 V1,柜,4,2026-01-10,,
京东::arrival::12,京东,12,B2DH401-POD03,B2DH401,POD03,网络,CE9866-128DQ,,,,台,6,2026-01-10,,
京东::arrival::13,京东,13,B2DH401-POD04,B2DH401,POD04,灵衢线缆,400G MPO线缆,,,,根,2688,2026-01-05,,
京东::arrival::14,京东,14,B2DH401-POD04,B2DH401,POD04,计算柜,Atlas 900 A3 SuperPoD计算柜,,,48*Atlas 900 A3,柜,12,2026-01-10,,
